id,en,fr,it,de,es
"-1556533391","Defeat {0} Mushrooms","Écrabouillez {0} Champignons","Batte {0} Funghi","Besiege {0} Pilz(e)","Vence a {0} champiñones"
"-881173937","Wanted: Seaspray Clan","Avis de recherche : Clan Bombaho","Ricercato: Clan Seaspray","Gesucht: Wellenschaumclan","Se busca: Clan Rocíomar"
"1396607977","Defeat {0} Seaspray Warriors","Battez {0} Guerriers Bombaho","Batte {0} Guerrieri Nebbia marina","Besiege {0} Wellenschaum Krieger","Vence a {0} guerreros Rocíomar"
"2093373340","Wanted: Dragon Lantern Clan","Avis de recherche : Clan de la Lanterne du dragon","Ricercato: Clan Lanterna del drago","Gesucht: Drachenfeuerclan","Se busca: Clan Farolillo dragón"
"-1538592570","Defeat {0} Dragon Lantern Warriors","Anéantissez {0} Guerriers de la Lanterne du dragon","Batte {0} Guerrieri Lanterna del drago","Besiege {0} Drachenfeuer Krieger","Vence a {0} guerreros Farolillo dragón"
"1392529877","Seer No Evil","N'y voyez pas le mal","Indovino indovinello","Ich Seher was","Sin mal a la vista"
"472064217","Defeat {0} Seers","Exterminez {0} Devins","Batte {0} Indovini","Besiege {0} Seher","Vence a {0} videntes"
"-355055007","Wand Waster","Casseur de sorts","Wand Waster","Schamanen mit Schatten","Derrochavaritas"
"399882843","Defeat {0} Shadowclan Shamans","Détruisez {0} Chamans de l'ombre","Batte {0} Sciamani delle ombre","Besiege {0} Schattenclan Schamanen","Vence a {0} chamanes Clansombrío"
"1563902211","Bye-Bye Succubi","Bye-bye succubes","Bye-Bye Succubi","Sukkibi adieu","Adiós, súcubos"
"-745347341","Defeat {0} Baronesses","Tuez {0} Baronnes","Batte {0} Baronesse","Besiege {0} Baroninnen","Vence a {0} baronesas"
"1526604228","Bone Collector","Collectionneur d'os","Collezionista di ossa","Ruhe in Frieden","Coleccionista de huesos"
"1353508121","Defeat {0} Undead","Détruisez {0} Morts-vivants","Batte {0} Morto vivente","Besiege {0} Untote","Vence a {0} zombis"
"266419968","Wanted: Dampfur Tribe","Avis de recherche : Tribu au Poil Mouillé","Ricercato: Tribù Dampfur","Gesucht: Feuchtfell Sippe","Se busca: Tribu Pelomojado"
"-415577012","Defeat {0} Dampfur Beasts","Anéantissez {0} Bêtes au Poil Mouillé","Batte {0} bestie Dampfur","Besiege {0} die Feuchtfell Biester","Vence a {0} bestias Pelomojado"
"962823412","Wanted: Halitosis Tribe","Avis de recherche : Tribu Pudubec","Ricercato: Tribù Halitosis","Gesucht: Stinkfaul Sippe","Se busca: Tribu de la Halitosis"
"-644068039","Defeat {0} Halitosis Beasts","Pulvérisez {0} Bêtes Pudubec","Batte {0} bestie Halitosis","Besiege {0} die Stinkfaul Biester","Vence a {0} bestias de la Halitosis"
"459913411","Caster Blaster","Exploseur d'Ensorceleurs","Ammazza-Caster","Aus dem Weg","Exterminador de conjuradores"
"213337983","Defeat {0} Casters","Battez {0} Ensorceleurs","Batte {0} Caster","Besiege {0} Magier","Vence a {0} conjuradores"
"1201473968","Big Game Hunter","Chasseur de gros gibier","Caccia grossa","Weidmanns Heil","Cazatalentos"
"-34455446","Defeat {0} Beasts","Combattez {0} Bêtes","Batte {0} Bestie","Besiege {0} Biester","Vence a {0} bestias"
"1944271229","Impin' Ain't Easy","Les Lutins, c'est le pétrin","Folli folletti","Kiebiger Kobold","Qué pillo es el diablillo"
"2138664030","Defeat {0} Imps","Battez {0} Lutins","Batte {0} folletti","Besiege {0} Kobolde","Vence a {0} diablillos"
"1463052089","A Warrior's Death","Mort d'un Guerrier","La morte del guerriero","Kühne Krieger","La muerte del guerrero"
"955697736","Defeat any {0} Warriors","Terrassez {0} Guerriers (tout type)","Batte qualsiasi {0} guerriero","Besiege {0} Krieger","Vence a {0} guerreros"
"-1201581060","Don't Fear the Reaper","Même pas peur du Faucheur","La morte in faccia","Wer hat Angst vor'm schwarzen Mann","Sin miedo a la muerte"
"513078630","Defeat {0} Gravefrost Collectors","Faites succomber {0} Collectionneurs de givre de tombe","Batte {0} Gravefrost Collectors","Besiege {0} Grabstaubsammler","Vence a {0} recolectores Escarchatumbas"
"-1460170855","Day Trading","Marché des échanges","Scambi quotidiani","Tagesgeschäfte","A hacer negocios"
"-625607033","Spend {0} Gems","Dépensez {0} Gemmes","Spendi {0} gemme","{0} Juwelen ausgeben","Gasta {0} gemas"
"492340214","Upgrade","Mettre à niveau","Potenzia","Upgrade","Mejora"
"-1361128817","Upgrade {0} Hero Abilities","Mettre à niveau {0} compétences du Héros","Potenzia {0} le abilità dell'eroe","{0} Kampftechniken verbessern","Mejora {0} habilidades de héroes"
"-37289004","Mawashi Master","Maître Mawashi","Mawashi Master","Mawashi Meister","Maestro mawashi"
"610468054","Defeat {0} Sumos","Massacrez {0} Sumos","Defeat {0} Sumos","Besiege {0} Sumoringer","Vence a {0} sumos"
"1415751841","Wand Wallop","Coup de baguette","Colpi di bacchetta","Zahme Zauberer","A golpe de varita"
"632692735","Defeat {0} Wizards","Vainquez {0} Sorciers","Batte {0} i maghi","Besiege {0} Magier","Vence a {0} magos"
"493312380","Stave the Darkness","Écarteur de mal","Allontana l'oscurità","Schattenkampf","Contén la oscuridad"
"-856729426","Defeat {0} Purple Enemies","Détruisez {0} ennemis violets","Batte {0} nemici viola","Besiege {0} violette Gegner","Vence a {0} enemigos morados"
"1304153473","Extinguish the Light","Extinction des feux","Spegni la luce","Licht unter'm Scheffel","El ocaso de la luz"
"-1196253802","Defeat {0} Yellow Enemies","Détruisez {0} ennemis jaunes","Batte {0} nemici gialli","Besiege {0} gelbe Gegner","Vence a {0} enemigos amarillos"
"197135962","Waylay of the Samurai","La voie du samouraï","Distrazione del samurai","Banzai!","Emboscada samurái"
"-1967564832","Defeat {0} Samurai","Gagnez contre {0} samouraïs","Batte {0} Samurai","Besiege {0} Samurai","Vence a {0} samuráis"
"-216984611","Monk Business","Affaires de moines","Affari da monaco","Mönchmäßig","El hábito no hace al monje"
"-883660561","Defeat {0} Monks","Réduisez à néant {0} moines","Batte {0} Monaci","Besiege {0} Mönche","Vence a {0} monjes"
"612979502","Silent Knight","Chevalier du silence","Cavaliere silenzioso","Schweigsamer Ritter","Silencio caballeresco"
"1203338401","By the Horns","Par les cornes","Per le corna","Beim Horn packen","Por los cuernos"
"-523269396","Defeat {0} Minotaur","Détruisez {0} Minotaures","Batte {0} Minotauro","Besiege {0} Minotauren","Vence a {0} minotauros"
"-732906978","Wanted: Bonfire Construct","Avis de recherche : Bâtisseur Brasier","Ricercato: Bonfire Construct","Gesucht: Leuchtfeuer Homunkulus","Se busca: Constructor Hoguera"
"-478629552","Defeat {0} Bonfire Construct Golems","Détruisez {0} golems bâtisseurs Brasier","Batte {0} Golem Bonfire Construct","Besiege {0} Leuchtfeuer Goblins","Vence a {0} gólems Constructores hoguera"
"-1695377838","Hard out Here for an Imp","La vie est dure pour un Lutin","È dura per un folletto","Kiebige Kobolde","Qué duro el diablillo"
"-1606995046","Gone Cubing","Occupé à empiler les cubes","Potenza al cubo","Alea iacta est","De cubos"
"-1521358606","Defeat {0} Cubes","Détruisez {0} Cubes","Batte {0} Cubi","Besiege {0} Klopse","Vence a {0} cubos"
"-1582826496","Lady Killers","Tueurs de dames","Killer femmina","Lady Killer","Guaperas"
"-1439251652","Defeat {0} Assassins","Fauchez {0} Assassins","Batte {0} Assassini","Besiege {0} Assassins","Vence a {0} asesinos"
"1564418173","Rue the Runemaster","Maudit le maître des runes","Povero il Runemaster","Runenmeister ruiniert","Ni un único Runemaster"
"-1371712114","Defeat {0} Dwarven Runemasters","Ratatinez {0} maîtres des runes Nains","Batte {0} Dwarven Runemasters","Besiege {0} Zwerg Runenmeister","Vence a {0} enanos Runemaster"
"812662502","Eye for an Eye","Oeil pour œil","Occhio per occhio","Auge um Auge","Ojo por ojo"
"1891873172","Defeat {0} Cyclopes","Liquidez {0} Cyclopes","Defeat {0} Cyclopes","Besiege {0} Zyklopen","Defeat {0} Cyclopes"
"-1675465942","Wobbler Cobbler","Ramollisseur de Flans","Wobbler Cobbler","Tückische Torkler","Fuera wobblers"
"-643609657","Defeat {0} Wobblers","Écrasez {0} Flans","Batte {0} Wobbler","Besiege {0} Torkler","Vence a {0} wobblers"
"-1577290353","Flight of the Sprite","Le vol des Farfadets","Volo dell'elfo","Waldgeist adé","Limpieza de duendecillos"
"-1191877825","Defeat {0} Sprites & Wisps","Écrasez {0} Farfadets et Feux Follets","Batte {0} elfi e ciuffi","Besiege {0} Kobolde & Wichte","Vence a {0} duendecillos y volutas"
"-1721204631","A Fiend Indeed","Peste soit de ces démons","Forza del demonio","Üble Unholde","Al diablo con los diablos"
"-593221305","Defeat {0} Fiends","Décimez {0} Pestes","Batte {0} demoni","Besiege {0} Unholde","Vence a {0} diablos"
"1733032035","Divine Demise","Chute des dieux","Morte divina","Göttliche Fügung","Deceso divino"
"-128824722","Defeat {0} Divine Warriors","Abattez {0} Guerriers Divins","Batte {0} guerrieri divini","Besiege {0} göttliche Kämpfer","Vence a {0} guerreros divinos"
"2003432641","Jewel Thief","Voleur de bijoux","Ladro di gioielli","Juwelendieb","Ladrón de joyas"
"366581139","Defeat {0} Amethyst Princesses","Vainquez {0} Princesses Améthystes","Batte {0} Principesse ametista","Besiege {0} Amethyst Prinzessinnen","Vence a {0} princesas ametistas"
"-1004280828","Quiet as the Grave","Muet comme une tombe","Silenzio tombale","Grabesstille","Como una tumba"
"1669328855","Defeat {0} Gravefrost Harvesters","Faites succomber {0} Moissonneurs de givre de tombe","Batte {0} Gravefrost Harvesters","Besiege {0} Grabstaubsammler","Vence a {0} cosechadores Escarchatumbas"
"-381259558","Wanted: Shadowfolk","Avis de recherche : Peuple des ténèbres","Ricercato: Shadowfolk","Gesucht: Schattenvolk","Se busca: Sombríos"
"-2140359491","Defeat {0} Noble Shadowfolk","Nettoyez {0} Nobles du peuple des ténèbres","Batte {0} Noble Shadowfolk","Besiege {0} Schattenvolk Edle","Vence a {0} Sombríos nobles"
"-1381746384","Wanted: Sunfolk","Avis de recherche : Peuple du soleil","Ricercato: Sunfolk","Gesucht: Sonnenvolk","Se busca: Luminosos"
"472074307","Defeat {0} Noble Sunfolk","Lynchez {0} Nobles du peuple du soleil","Batte {0} Noble Sunfolk","Besiege {0} Sonnenvolk Edle","Vence a {0} Luminosos nobles"
"1331511361","Astral Hassle","Problèmes astraux","Rottura astrale","Astrein Astral","Paliza astral"
"-1999113458","Defeat {0} Astral Adepts","Battez {0} Adeptes Astraux","Batte {0} Adepti astrali","Besiege {0} Astrale Adepten","Vence a {0} eruditos Astral"
"250451573","Fate of the Zeta","Déclin d'une Zeta","Fato degli Zeta","Schicksal der Zeta","El destino zeta"
"268726529","Defeat {0} Zeta Warriors","Défaites {0} Guerriers Zeta","Batte {0} Guerrieri Zeta","Besiege {0} Zetakrieger","Vence a {0} guerreros Zeta"
"-588563713","Novice Collector","Collectionneur novice","Collezionista principiante","Sammlernovize","Recopilador novato"
"928645208","Collect {0} Tokens from Dungeons","Amassez {0} Jetons dans les Donjons","Ottiene {0} gettoni nei Sotterranei","Sammle {0} Marken in Dungeons","Recopila {0} fichas de las mazmorras"
"-1975221752","Superior Collector","Collectionneur expérimenté","Collezionista superiore","Azubisammler","Recopilador superior"
"158389174","Collect {0} More Tokens from Dungeons","Amassez {0} plus de Jetons dans les Donjons","Ottiene {0} più gettoni nei Sotterranei","Sammle noch {0} Marken in Dungeons","Recopila {0} fichas más de las mazmorras"
"663517128","Expert Collector","Collectionneur expert","Collezionista esperto","Sammelexperte","Recopilador experto"
"552709638","Veteran Collector","Collectionneur vétéran","Collezionista veterano","Profisammler","Recopilador veterano"
"1794859403","Elite  Collector","Collectionneur d'élite","Collezionista d'élite","Meistersammler","Recopilador de élite"
"-1344124402","Champion Collector","Collectionneur champion","Collezionista campione","Champion-Sammler","Recopilador campeón"
"1095813782","Grand Collector","Collectionneur avancé","Grande collezionista","Ehrwürdiger Sammler","Gran recopilador"
"956990011","Master Collector","Grand maître collectionneur","Collezionista master","Sammlereminenz","Recopilador maestro"
"-226836530","Ultimate Collector","Collectionneur émérite","Collezionista supremo","Sammler „Ultimo“","Recopilador definitivo"
"-1444455760","Boss Collector","Boss collectionneur","Collezionista capo","Sammlerboss","Recopilador jefe"
"-1153402321","Novice Trainer","Entraîneur novice","Addestratore principiante","Trainingsnovize","Entrenador novato"
"526322382","Superior Trainer","Entraîneur expérimenté","Addestratore superiore","Azubitrainer","Entrenador superior"
"-1090998794","Gain {0} More Hero Levels","Gagnez {0} niveaux de Héros supplémentaires","Ottieni {0} più livelli eroe","Erreiche noch {0} Heldenlevel","Obtén {0} niveles de héroe más"
"-1029807127","Expert Trainer","Entraîneur expert","Addestratore esperto","Trainingsexperte","Entrenador experto"
"933945582","Veteran Trainer","Entraîneur vétéran","Addestratore veterano","Trainingsprofi","Entrenador veterano"
"-1701507667","Elite Trainer","Entraîneur d'élite","Addestratore d'élite","Meistertrainer","Entrenador de élite"
"1583306726","Champion Trainer","Entraîneur champion","Addestratore campione","Champion-Trainer","Entrenador campeón"
"1220138152","Grand Trainer","Entraîneur avancé","Grande addestratore","Ehrwürdiger Trainer","Gran entrenador"
"1072850176","Master Trainer","Grand maître entraîneur","Addestratore master","Trainingseminenz","Entrenador maestro"
"-344922695","Ultimate Trainer","Entraîneur émérite","Addestratore supremo","Trainer „Ultimo“","Entrenador definitivo"
"-903561918","Boss Trainer","Boss entraîneur","Capo addestratore","Bosstrainer","Entrenador jefe"
"-1609889889","Goblin Kingdom","Le royaume Gobelin","Regno dei goblin","Das Reich der Goblins","Reino duende"
"-561086557","Complete: Chapter 1","Terminez : Chapitre 1","Completa: Capitolo 1","Abgeschlossen: Kapitel 1","Completado: Capítulo 1"
"-312464769","Cursed Lands","Le pays ensorcelé","Terre maledette","Ein verfluchtes Land","Tierras malditas"
"2113061491","Complete: Chapter 2","Terminez : Chapitre 2","Completa: Capitolo 2","Abgeschlossen: Kapitel 2","Completado: Capítulo 2"
"158561571","Shadow Dwarf Kingdom","Le royaume des Nains des ténèbres","Regno dei nani ombra","Das Reich der Schattenzwerge","Reino enano de las sombras"
"1279410906","Complete: Chapter 3","Terminez : Chapitre 3","Completa: Capitolo 3","Abgeschlossen: Kapitel 3","Completado: Capítulo 3"
"-1535537040","Core of the World","Au cœur du monde","Centro del mondo","Das Herz der Welt","Núcleo del mundo"
"607556106","Complete: Chapter 4","Terminez : Chapitre 4","Completa: Capitolo 4","Abgeschlossen: Kapitel 4","Completado: Capítulo 4"
"-902387025","Mystical Valley","La vallée des mythes","Valle mistica","Das mystische Tal","Valle místico"
"-1908391278","Complete: Chapter 5","Terminez : Chapitre 5","Completa: Capitolo 5","Abgeschlossen: Kapitel 5","Completado: Capítulo 5"
"1247059520","Defiled Woodland","Les forêts maculées","Foresta contaminata","Die entweihten Wälder","Bosque profanado"
"-1515459245","Complete: Chapter 6","Terminez : Chapitre 6","Completa: Capitolo 6","Abgeschlossen: Kapitel 6","Completado: Capítulo 6"
"-217045481","Crusaders Vanguard","L'avant-garde des croisés","Avanguardia dei Crociati","Die Vorhut der Raubritter","Vanguardia cruzada"
"-1454884300","Complete: Chapter 7","Terminez : Chapitre 7","Completa: Capitolo 7","Abgeschlossen: Kapitel 7","Completado: Capítulo 7"
"1947405926","The Warmachine","La machine de guerre","La macchina da guerra","Die Kriegsmaschine","La máquina de guerra"
"1031989286","Complete: Chapter 8","Terminez : Chapitre 8","Completa: Capitolo 8","Abgeschlossen: Kapitel 8","Completado: Capítulo 8"
"-1985361302","Unholy Kingdom","Le royaume damné","Regno profano","Das unheilige Reich","Reino profano"
"696537894","Complete: Chapter 9","Terminez : Chapitre 9","Completa: Capitolo 9","Abgeschlossen: Kapitel 9","Completado: Capítulo 9"
"-1874442795","Infernal Barrens","Les landes de l'enfer","Aridità infernale","Die infernalische Ödnis","Desierto infernal"
"-499250701","Complete: Chapter 10","Terminez : Chapitre 10","Completa: Capitolo 10","Abgeschlossen: Kapitel 10","Completado: Capítulo 10"
"1977571485","Necropolis","Necropolis","Necropoli","Nekropolis","Necrópolis"
"-2032193865","Complete: Chapter 11","Terminez : Chapitre 11","Completa: Capitolo 11","Abgeschlossen: Kapitel 11","Completado: Capítulo 11"
"1525167036","Imperial Border","À la frontière de l'empire","Confine imperiale","Die Reichsgrenze","Frontera imperial"
"-780656076","Complete: Chapter 12","Terminez : Chapitre 12","Completa: Capitolo 12","Abgeschlossen: Kapitel 12","Completado: Capítulo 12"
"693481512","Imperial Quarry","Carrières impériales","Cava imperiale","Der Steinbruch","Cantera imperial"
"-1615317627","Complete: Chapter 13","Terminez : Chapitre 13","Completa: Capitolo 13","Abgeschlossen: Kapitel 13","Completado: Capítulo 13"
"-1704472154","Crimson Empire","L'empire rouge","Impero cremisi","Das Purpurreich","Imperio carmesí"
"-1106209121","Complete: Chapter 14","Terminez : Chapitre 14","Completa: Capitolo 14","Abgeschlossen: Kapitel 14","Completado: Capítulo 14"
"688149804","Doomed Wastes","Les friches condamnées","Scorie maledette","Die Einöde der Verdammnis","Desechos condenados"
"1485208733","Complete: Chapter 15","Terminez : Chapitre 15","Completa: Capitolo 15","Abgeschlossen: Kapitel 15","Completado: Capítulo 15"
"1723731296","Dragon Lord Summit","La cime du seigneur des dragons","Vetta del Signore dragone","Die Drachenlordspitze","Cumbre del Señor dragón"
"-1053921397","Complete: Chapter 16","Terminez : Chapitre 16","Completa: Capitolo 16","Abgeschlossen: Kapitel 16","Completado: Capítulo 16"
"-1126789788","Rune Stone Mountains","Les montagnes de pierre runique","Montagne Pietra di runa","Die Runensteinberge","Montañas de las runas"
"-1268167821","Complete: Chapter 17","Terminez : Chapitre 17","Completa: Capitolo 17","Abgeschlossen: Kapitel 17","Completado: Capítulo 17"
"1310435471","Land of Giants","La terre des géants","Terra dei giganti","Das Land der Riesen","Tierra de gigantes"
"-1697880179","Complete: Chapter 18","Terminez : Chapitre 18","Completa: Capitolo 18","Abgeschlossen: Kapitel 18","Completado: Capítulo 18"
"1018869026","Mystical Highlands","Les hauts-plateaux mystiques","Altopiani mistici","Die mystischen Berge","Tierras altas místicas"
"-1352597922","Complete: Chapter 19","Terminez : Chapitre 19","Completa: Capitolo 19","Abgeschlossen: Kapitel 19","Completado: Capítulo 19"
"236304713","Pinnacle","Le pic","Pinnacolo","Die Engelsspitze","Pináculo"
"136714185","Complete: Chapter 20","Terminez : Chapitre 20","Completa: Capitolo 20","Abgeschlossen: Kapitel 20","Completado: Capítulo 20"
"854906894","The Blight","Le fléau","La rovina","Der Pesthauch","La plaga"
"-319058652","Complete: Chapter 21","Terminez : Chapitre 21","Completa: Capitolo 21","Abgeschlossen: Kapitel 21","Completado: Capítulo 21"
"-992693151","Novice Merchant","Marchand novice","Mercante apprendista","Handelsnovize","Comerciante novato"
"975144997","Spend {0} Gold","Dépensez {0} Pièces","Spende {0} oro","Gib {0} Gold aus","Gasta {0} monedas de oro"
"1062001177","Superior Merchant","Marchand expérimenté","Mercante superiore","Azubihändler","Comerciante superior"
"848807694","Spend {0} More Gold","Dépensez {0} Pièces en plus","Spende {0} più oro","Gib noch {0} Gold aus","Gasta {0} monedas de oro más"
"-1534346345","Expert Merchant","Marchand expert","Mercante esperto","Handelsexperte","Comerciante experto"
"-209633127","Veteran Merchant","Marchand vétéran","Mercante veterano","Profihändler","Comerciante veterano"
"1271839873","Elite  Merchant","Marchand d'élite","Mercante d'élite","Meisterhändler","Comerciante de élite"
"1034538473","Champion Merchant","Marchand champion","Mercante campione","Champion-Händler","Comerciante campeón"
"1663752796","Grand Merchant","Marchand avancé","Grande mercante","Ehrwürdiger Händler","Gran comerciante"
"-1144622574","Master Merchant","Grand maître marchand","Mercante master","Handelseminenz","Maestro comerciante"
"911184372","Ultimate Merchant","Marchand émérite","Mercante supremo","Händler „Ultimo“","Comerciante definitivo"
"295990291","Boss Merchant","Boss marchand","Mercante capo","Händlerboss","Comerciante jefe"
"-509111160","Novice Summoner","Invocateur novice","Apprendista evocatore","Kommandonovize","Invocador novato"
"1530519410","Superior Summoner","Invocateur expérimenté","Evocatore superiore","Azubikommandeur","Invocador superior"
"-1357547855","Spend {0} More Gems","Dépensez encore {0} Gemmes","Spende {0} più gemme","Gib noch {0} Juwelen aus","Gasta {0} gemas más"
"-693990541","Expert Summoner","Invocateur expert","Evocatore esperto","Kommandoexperte","Invocador experto"
"188534963","Veteran Summoner","Invocateur vétéran","Evocatore veterano","Profikommandeur","Invocador veterano"
"281052452","Elite  Summoner","Invocateur d'élite","Evocatore d'élite","Kommandomeister","Invocador de élite"
"-466648930","Champion Summoner","Invocateur champion","Campione di evocazione","Champion-Kommandeur","Invocador campeón"
